N,"P(N, theta0)"
900000,0.23508751771419817
901000,0.23511969667405086
902000,0.23513315192466444
903000,0.2351326484253607
904000,0.23514291707186852
905000,0.2351280507783628
906000,0.23512441673707687
907000,0.23510020645838323
908000,0.23508878549045675
909000,0.23508654772835927
910000,0.23509589871882344
911000,0.23512529060301546
912000,0.23512190693768864
913000,0.2351031913366131
914000,0.23512382188973227
915000,0.2351461816317143
916000,0.23513547108832647
917000,0.23513408765084154
918000,0.23513734983235351
919000,0.2351436907859903
920000,0.2351266285774308
921000,0.23512702225653287
922000,0.2351412869315204
923000,0.23514144239831256
924000,0.23509983261597323
925000,0.23509915236207687
926000,0.2350956214368011
927000,0.23507785144900545
928000,0.23510018791047274
929000,0.23509667923013447
930000,0.23510365339700198
931000,0.23510777596842578
932000,0.2350894355941436
933000,0.23509399317355603
934000,0.23506830671824497
935000,0.23505722920499805
936000,0.2350652897625357
937000,0.2350891681936666
938000,0.2351045453373553
939000,0.23509824122451983
940000,0.2351023318728497
941000,0.2351228289207946
942000,0.23515731322150038
943000,0.23515162620247365
944000,0.235169429475164
945000,0.23515858154368308
946000,0.2351365768820426
947000,0.2351444673178281
948000,0.23513968802642807
949000,0.23514070706849954
950000,0.23514236332211408
951000,0.235160688775232
952000,0.23518410923088096
953000,0.23518699234182106
954000,0.23519882286426697
955000,0.23518336815198068
956000,0.23517454162702964
957000,0.2351914550730084
958000,0.23520663603253042
959000,0.2352111761820962
960000,0.23521464701050537
961000,0.23523441745633578
962000,0.2352209398482724
963000,0.23522354606158785
964000,0.235226571358854
965000,0.2352249507080122
966000,0.23523197306927857
967000,0.23523119195157205
968000,0.2352396644590349
969000,0.2352336268397712
970000,0.23518982284152773
971000,0.23518614879072786
972000,0.2351541997671247
973000,0.23516751687975354
974000,0.23518436913629384
975000,0.23520682224044706
976000,0.2352056577608007
977000,0.23520970559368456
978000,0.23522811339655167
979000,0.23522775897615436
980000,0.23522387637869271
981000,0.23521937549192276
982000,0.23522401111416705
983000,0.2352307112437166
984000,0.23523822594778349
985000,0.23522483563618465
986000,0.23520300102211777
987000,0.23521278984896973
988000,0.23521946875974997
989000,0.23521418289688892
990000,0.23522516943251914
991000,0.23524826537567506
992000,0.23525406209514366
993000,0.23524835511397332
994000,0.23523814503058504
995000,0.23523860925884013
996000,0.23525953446950326
997000,0.23525302377311275
998000,0.23524754675574508
999000,0.23524167334464252
1000000,0.2352555860161576
